Tournament,Timestamp,Table,Player 1,Score 1,Player 2,Score 2
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:28.852478,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.287627,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.287627,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.287627,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.287627,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.287627,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.625276,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.625276,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.625276,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.625276,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.625276,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.825603,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.825603,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.825603,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.825603,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:29.825603,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.232389,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.232389,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.232389,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.232389,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.232389,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.656574,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.656574,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.656574,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.656574,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:30.656574,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:31.221109,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:31.221109,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:31.221109,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:31.221109,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:31.221109,5,linus,0,remo,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:32.044464,1,enrique,0,tim,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:32.044464,2,coco,0,baney,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:32.044464,3,beni,0,luca,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:32.044464,4,vale,0,serge,0
20069140-6a59-4082-8f40-7026a55248d5,2025-04-20T17:08:32.044464,5,linus,0,remo,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:14.007184,1,d,0,d,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:14.007184,1,d,0,d,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:14.007184,1,d,0,d,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:14.007184,1,d,0,d,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:17.986474,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:18.887077,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:19.573684,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:20.162099,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:21.521286,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:22.245231,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:22.516737,1,d,2,🦵,0
3b159614-2d05-45b9-bae5-e091dbf4cf52,2025-04-20T17:09:38.985576,1,d,2,🦵,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:25.165043,1,s,0,s,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:25.165043,1,s,0,s,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:25.165043,1,s,0,s,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:25.165043,1,s,0,s,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:32.012298,1,s,2,🦵,0
b8602215-1f77-42fe-bc03-1ed0e44a8eef,2025-04-20T17:10:32.705215,1,s,2,🦵,0
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:10:44.963446,1,d,2,kj,0
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:10:44.963446,1,l,2,s,0
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:10:44.963446,1,f,2,a,0
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:10:44.963446,1,g,2,hg,0
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:12:02.226375,1,d,2,kj,1
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:12:02.226375,1,l,2,s,1
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:12:02.226375,1,f,0,a,2
6e83bc7c-28bf-4151-889b-7540e955dc23,2025-04-20T17:12:02.226375,1,g,0,hg,2
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:28.171047,1,s,2,a,0
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:28.171047,1,w,2,g,1
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:28.171047,1,q,2,jr,0
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:28.171047,1,e,0,d,2
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:32.573089,1,d,0,q,0
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:32.573089,2,s,0,w,0
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:32.573089,3,a,0,e,0
595cb745-cfd0-4277-8169-2cc419c17dbf,2025-04-20T17:25:32.573089,4,g,0,jr,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:50.438811,1,5,0,1,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:50.438811,1,7,0,8,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:50.438811,1,2,0,4,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:50.438811,1,3,0,6,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:52.472818,1,1,0,2,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:52.472818,2,3,0,4,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:52.472818,3,5,0,6,0
cefaffc5-3343-4fc5-8dfa-742d61eac8d7,2025-04-20T17:25:52.472818,4,7,0,8,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:16.319113,1,7,2,5,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:16.319113,1,1,0,4,1
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:16.319113,1,6,2,2,1
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:16.319113,1,8,0,3,2
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:19.184140,1,3,0,4,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:19.184140,2,6,0,7,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:19.184140,3,1,0,2,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:19.184140,4,5,0,8,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:20.802248,1,3,0,4,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:20.802248,2,6,0,7,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:20.802248,3,1,0,2,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:26:20.802248,4,5,0,8,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:18.601473,1,3,0,4,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:18.601473,2,6,0,7,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:18.601473,3,1,0,2,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:18.601473,4,5,0,8,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:32.483004,1,3,0,4,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:32.483004,2,6,0,7,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:32.483004,3,1,0,2,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T17:28:32.483004,4,5,0,8,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T18:13:55.251810,1,3,0,4,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T18:13:55.251810,2,6,0,7,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T18:13:55.251810,3,1,0,2,0
65bd2bfd-d687-494b-b978-2cb38efb425c,2025-04-20T18:13:55.251810,4,5,0,8,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:11.802068,1,s,2,s,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:11.802068,1,s,2,s,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:11.802068,1,s,2,s,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:11.802068,1,s,2,s,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:34.972519,1,s,2,🦵,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:35.920524,1,s,2,🦵,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:36.310140,1,s,2,🦵,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:19:36.662385,1,s,2,🦵,0
d3f7c60f-d63f-45f5-86fb-92d0360a4a0f,2025-04-20T18:21:05.943331,1,s,2,🦵,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:24.154720,1,f,2,s,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:24.154720,1,q,1,sd,2
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:24.154720,1,f,2,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:24.154720,1,s,1,d,2
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:27.441411,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:27.441411,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:27.441411,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:28.567357,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:28.568837,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:28.568837,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.109347,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.109347,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.109347,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.614869,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.614869,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:29.614869,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.038034,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.038034,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.038034,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.502356,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.502356,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:30.502356,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.361447,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.361447,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.361447,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.904783,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.904783,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:31.904783,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.428587,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.428587,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.428587,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.846214,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.846214,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:32.846214,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.105591,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.105591,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.105591,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.342702,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.342702,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.342702,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.747385,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.747385,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:33.747385,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:50.822893,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:50.822893,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:50.822893,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:51.297015,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:51.297015,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:21:51.297015,3,s,0,w,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:22:22.481475,1,f,0,d,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:22:22.481475,2,sd,0,q,0
a8e45d22-2730-4032-83eb-40e8a2c4c0d0,2025-04-20T18:22:22.481475,3,s,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:50.426468,1,w,2,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:50.426468,1,z,0,u,1
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:50.426468,1,t,2,q,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:50.426468,1,i,0,e,1
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:58.859467,1,e,2,t,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:58.859467,2,u,2,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:58.859467,3,i,2,q,1
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:22:58.859467,4,r,2,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:46.321158,1,e,0,t,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:46.321158,2,u,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:46.321158,3,i,0,q,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:46.321158,4,r,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.289466,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.289466,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.289466,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.289466,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.730984,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.730984,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.730984,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:47.730984,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:48.452478,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:48.452478,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:48.452478,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:48.452478,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.119798,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.119798,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.119798,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.119798,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.488761,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.488761,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.488761,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.488761,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.864387,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.864387,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.864387,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:49.864387,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:50.239480,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:50.239480,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:50.239480,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:50.239480,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.075081,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.076134,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.076134,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.076134,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.761465,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.761465,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.761465,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:51.761465,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.148156,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.148156,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.148156,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.148156,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.483172,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.483172,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.483172,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:24:52.483172,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:08.704677,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:08.704677,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:08.704677,3,t,0,w,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:08.704677,4,q,0,z,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:12.029814,1,e,0,u,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:12.029814,2,i,0,r,0
c493f326-2d23-44ec-b3a2-7cbdecf7c684,2025-04-20T18:25:12.029814,3,t,0,w,0
